day,run_id,n_students,n_teachers,class_size_cap,teacher_time_budget,alpha,forgetting,n_days,seed,teacher_skill_mean,teacher_skill_sd,inc_c0,inc_c_class,inc_c_B,base_loss,max_loss,agency_amp_min,agency_amp_max,beta_success,gamma_failure,success_eps,K_mean,K_p10,K_p50,K_p90,A_mean,A_p10,A_p50,A_p90,incidents_total,time_lost_mean
1,1,120,6,12,30.0,0.05,0.002,90,12001,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,0.4279539661067321,0.15116876674576735,0.42571958304763713,0.7354734849217885,0.48405642741032234,0.19177889446912777,0.4969420008892926,0.7765862478618828,40,0.15999999999999998
2,1,120,6,12,30.0,0.05,0.002,90,12001,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,0.4585227475828448,0.20149426810594473,0.4617927390865859,0.7497790206274848,0.4940564274103224,0.20177889446912778,0.5069420008892925,0.7865862478618828,35,0.14
3,1,120,6,12,30.0,0.05,0.002,90,12001,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,0.48612030611758356,0.2390973120075532,0.49529360952014956,0.7598758423202029,0.5040564274103224,0.2117788944691278,0.5169420008892925,0.7965862478618828,46,0.18400000000000002
4,1,120,6,12,30.0,0.05,0.002,90,12001,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,0.5111019584904686,0.27058282634947356,0.5164968822764763,0.7702166014299692,0.5140564274103224,0.2217788944691278,0.5269420008892925,0.8065862478618828,56,0.22400000000000006
5,1,120,6,12,30.0,0.05,0.002,90,12001,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,0.5373950229926572,0.3131572327457207,0.5412140705518345,0.7824739088120019,0.5240564274103224,0.2317788944691278,0.5369420008892926,0.8165862478618828,38,0.15200000000000002
6,1,120,6,12,30.0,0.05,0.002,90,12001,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,0.5623632772093508,0.3503649660300106,0.5634287553785287,0.7937184830803911,0.5340564274103224,0.24177889446912781,0.5469420008892926,0.8265862478618828,36,0.14400000000000002
7,1,120,6,12,30.0,0.05,0.002,90,12001,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,0.585863283992802,0.3808265085921759,0.5851013628750114,0.8040487355095132,0.5440564274103223,0.2517788944691278,0.5569420008892926,0.8365862478618828,38,0.15200000000000002
8,1,120,6,12,30.0,0.05,0.002,90,12001,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,0.6068221567466483,0.41821258023569324,0.6116346756936162,0.8133420274619106,0.5540564274103225,0.26177889446912783,0.5669420008892926,0.8465862478618829,50,0.20000000000000007
9,1,120,6,12,30.0,0.05,0.002,90,12001,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,0.6283301414067756,0.43874662631059036,0.6301643792504056,0.8212240365086813,0.5640564274103225,0.27177889446912784,0.5769420008892926,0.8565862478618829,34,0.136
10,1,120,6,12,30.0,0.05,0.002,90,12001,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,0.6478826880341368,0.4613164901735465,0.6474290570410297,0.8272367051621882,0.5740564274103224,0.28177889446912785,0.5869420008892926,0.8665862478618829,41,0.16400000000000003
11,1,120,6,12,30.0,0.05,0.002,90,12001,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,0.6663399967171355,0.48810622181231994,0.6655144331222875,0.8327692973836627,0.5840564274103225,0.29177889446912786,0.5969420008892926,0.8765862478618829,44,0.17600000000000002
12,1,120,6,12,30.0,0.05,0.002,90,12001,0.8,0.1,-1.7,0.05,1.0,0.04,0.4,0.5,1.0,0.01,0.006,1e-06,0.684141993111587,0.5138189928314156,0.6828009988311419,0.8424741985713089,0.5940564274103224,0.30177889446912787,0.6069420008892926,0.8865862478618829,37,0.148
